best_dev_sent_f1,best_dev_act_f1,best_test_sent_f1,best_test_act_f1,best_dev_test_sent_f1,best_dev_test_act_f1,learning rate,l2,dropout,hidden_dim,batch size,num_base,stack_num,margin_coefficient,random_wordvec
41.757,0.0,50.215,79.682,50.215,79.682,0.001,1e-08,0.07,256,16,-1,3,1e-05,True
39.674,78.424,47.573,79.258,45.948,78.521,0.001,1e-08,0.07,256,16,-1,1,1e-05,True
39.33,78.747,48.289,79.156,43.928,78.558,0.001,1e-08,0.1,256,16,-1,1,1e-05,True
41.135,78.54,46.936,79.698,46.052,79.24,0.001,1e-08,0.1,256,16,-1,3,1e-05,True
41.813,78.567,48.056,79.686,45.277,79.342,0.001,1e-08,0.14,256,16,-1,1,1e-05,True
41.292,77.946,47.83,79.002,44.652,78.944,0.001,1e-08,0.1,256,16,-1,2,1e-05,True
39.662,77.975,46.928,78.682,46.554,78.635,0.001,1e-08,0.14,256,16,-1,2,1e-05,True
42.779,78.845,47.889,79.567,46.872,79.24,0.001,1e-08,0.2,256,16,-1,1,1e-05,True
41.163,78.574,48.895,79.807,48.763,78.82,0.001,1e-08,0.2,256,16,-1,2,1e-05,True
43.125,78.907,47.846,79.378,45.777,78.945,0.001,1e-08,0.14,256,16,-1,3,1e-05,True
45.212,77.7,48.048,79.995,46.342,79.933,0.001,1e-08,0.2,256,16,-1,3,1e-05,True
42.384,78.869,46.242,80.351,46.242,79.937,0.001,1e-08,0.3,256,16,-1,2,1e-05,True
40.557,0.0,46.719,80.031,45.673,80.031,0.001,1e-08,0.3,256,16,-1,3,1e-05,True
39.802,78.66,48.927,80.424,46.979,79.501,0.001,1e-08,0.3,256,16,-1,1,1e-05,True
40.44,78.299,50.154,79.279,48.502,78.846,0.001,1e-08,0.07,256,16,-1,1,0.0001,True
41.604,79.38,46.635,79.111,44.411,79.108,0.001,1e-08,0.07,256,16,-1,3,0.0001,True
37.526,0.0,49.451,79.06,42.127,79.06,0.001,1e-08,0.1,256,16,-1,1,0.0001,True
41.505,78.215,47.802,79.619,43.988,79.065,0.001,1e-08,0.07,256,16,-1,2,0.0001,True
40.838,78.174,48.667,79.371,47.035,79.371,0.001,1e-08,0.1,256,16,-1,2,0.0001,True
41.655,78.321,48.295,79.322,46.606,79.273,0.001,1e-08,0.14,256,16,-1,1,0.0001,True
39.397,78.211,48.396,79.61,45.039,79.61,0.001,1e-08,0.14,256,16,-1,2,0.0001,True
35.873,78.642,47.288,79.54,43.126,78.65,0.001,1e-08,0.1,256,16,-1,3,0.0001,True
43.332,78.895,47.859,79.558,47.303,79.474,0.001,1e-08,0.14,256,16,-1,3,0.0001,True
41.302,78.75,47.601,79.369,45.958,78.623,0.001,1e-08,0.2,256,16,-1,2,0.0001,True
42.998,77.289,49.745,80.363,45.713,80.363,0.001,1e-08,0.2,256,16,-1,3,0.0001,True
41.373,0.0,50.864,80.078,48.072,80.078,0.001,1e-08,0.2,256,16,-1,1,0.0001,True
40.187,78.314,49.051,79.322,47.13,79.322,0.001,1e-08,0.3,256,16,-1,1,0.0001,True
45.078,78.836,50.177,80.21,48.28,80.21,0.001,1e-08,0.3,256,16,-1,3,0.0001,True
40.954,78.073,45.908,78.948,43.322,78.948,0.001,1e-08,0.07,256,16,-1,1,0.001,True
41.834,79.102,48.733,80.107,48.057,79.723,0.001,1e-08,0.3,256,16,-1,2,0.0001,True
39.226,0.0,48.933,79.732,47.087,79.398,0.001,1e-08,0.07,256,16,-1,2,0.001,True
40.769,78.602,47.537,79.47,46.105,79.202,0.001,1e-08,0.1,256,16,-1,1,0.001,True
41.546,77.538,48.344,79.825,45.895,79.825,0.001,1e-08,0.1,256,16,-1,2,0.001,True
41.149,78.953,46.844,79.5,46.844,79.11,0.001,1e-08,0.07,256,16,-1,3,0.001,True
40.311,78.363,48.328,79.103,47.7,79.103,0.001,1e-08,0.1,256,16,-1,3,0.001,True
41.101,0.0,47.302,79.555,44.554,79.006,0.001,1e-08,0.14,256,16,-1,2,0.001,True
41.638,78.901,47.808,79.752,45.971,79.527,0.001,1e-08,0.14,256,16,-1,3,0.001,True
41.886,78.079,48.28,79.678,48.171,79.678,0.001,1e-08,0.14,256,16,-1,1,0.001,True
41.394,78.359,48.583,79.349,47.909,79.322,0.001,1e-08,0.2,256,16,-1,1,0.001,True
40.08,77.622,47.013,79.917,45.385,79.917,0.001,1e-08,0.2,256,16,-1,3,0.001,True
40.979,79.069,48.627,79.991,46.166,79.823,0.001,1e-08,0.3,256,16,-1,1,0.001,True
40.408,77.329,47.029,79.873,44.465,79.873,0.001,1e-08,0.2,256,16,-1,2,0.001,True
41.457,79.043,46.372,80.257,44.744,79.747,0.001,1e-08,0.3,256,16,-1,2,0.001,True
41.697,78.546,47.044,79.138,46.56,78.945,0.001,1e-08,0.07,256,16,-1,1,0.01,True
41.459,79.516,46.451,79.555,44.482,78.841,0.001,1e-08,0.07,256,16,-1,2,0.01,True
43.97,78.656,47.113,79.764,44.312,79.549,0.001,1e-08,0.3,256,16,-1,3,0.001,True
42.99,78.988,47.659,79.547,45.771,78.638,0.001,1e-08,0.07,256,16,-1,3,0.01,True
41.871,77.789,46.923,79.846,46.923,79.846,0.001,1e-08,0.1,256,16,-1,2,0.01,True
40.811,78.578,47.489,79.327,47.079,78.308,0.001,1e-08,0.1,256,16,-1,3,0.01,True
42.303,78.172,48.849,79.591,48.849,78.906,0.001,1e-08,0.1,256,16,-1,1,0.01,True
41.759,78.775,47.014,80.222,47.014,79.446,0.001,1e-08,0.14,256,16,-1,1,0.01,True
42.396,78.985,46.926,79.564,43.064,79.564,0.001,1e-08,0.14,256,16,-1,3,0.01,True
43.709,0.0,48.837,79.652,45.502,79.652,0.001,1e-08,0.2,256,16,-1,1,0.01,True
42.692,79.24,49.619,79.375,46.243,78.918,0.001,1e-08,0.14,256,16,-1,2,0.01,True
39.379,0.0,47.187,80.051,43.154,80.051,0.001,1e-08,0.2,256,16,-1,2,0.01,True
43.549,78.688,48.762,79.88,47.013,79.561,0.001,1e-08,0.3,256,16,-1,1,0.01,True
42.231,79.227,45.623,80.352,44.385,79.876,0.001,1e-08,0.3,256,16,-1,2,0.01,True
42.819,78.765,47.699,79.839,46.023,79.225,0.001,1e-08,0.2,256,16,-1,3,0.01,True
40.843,77.002,48.593,80.141,46.903,80.141,0.001,1e-08,0.3,256,16,-1,3,0.01,True
42.102,0.0,49.969,79.029,48.26,79.029,0.001,1e-08,0.07,300,16,-1,1,0.0,False
42.304,77.856,49.925,79.433,48.835,79.433,0.001,1e-08,0.1,300,16,-1,1,0.0,False
40.763,77.185,50.4,79.283,48.672,79.283,0.001,1e-08,0.07,300,16,-1,2,0.0,False
42.132,77.11,50.757,78.86,49.129,78.519,0.001,1e-08,0.07,300,16,-1,3,0.0,False
41.997,77.109,48.915,79.049,48.609,79.049,0.001,1e-08,0.1,300,16,-1,2,0.0,False
40.718,78.779,49.463,79.557,47.681,79.199,0.001,1e-08,0.14,300,16,-1,2,0.0,False
40.568,78.604,49.397,79.327,46.947,78.972,0.001,1e-08,0.14,300,16,-1,1,0.0,False
41.146,76.17,49.51,78.561,49.51,78.561,0.001,1e-08,0.1,300,16,-1,3,0.0,False
40.201,76.641,49.764,79.205,49.035,79.205,0.001,1e-08,0.14,300,16,-1,3,0.0,False
41.855,0.0,49.911,79.102,47.408,79.102,0.001,1e-08,0.2,300,16,-1,2,0.0,False
41.277,76.981,51.083,79.231,48.168,79.231,0.001,1e-08,0.2,300,16,-1,3,0.0,False
41.544,78.558,51.063,79.544,51.063,79.544,0.001,1e-08,0.2,300,16,-1,1,0.0,False
42.806,78.974,52.74,79.635,52.06,78.701,0.001,1e-08,0.3,300,16,-1,1,0.0,False
43.278,78.882,53.325,79.884,49.229,79.884,0.001,1e-08,0.4,300,16,-1,1,0.0,False
43.584,76.355,50.193,79.1,49.909,79.1,0.001,1e-08,0.3,300,16,-1,3,0.0,False
43.545,78.387,49.668,80.11,49.668,80.11,0.001,1e-08,0.3,300,16,-1,2,0.0,False
44.437,78.97,50.928,79.791,49.712,79.47,0.001,1e-08,0.4,300,16,-1,2,0.0,False
43.431,0.0,51.688,79.66,51.688,79.66,0.001,1e-08,0.5,300,16,-1,2,0.0,False
42.488,78.417,52.738,79.821,48.518,79.82,0.001,1e-08,0.5,300,16,-1,1,0.0,False
41.711,79.064,51.79,79.277,51.79,78.778,0.001,1e-08,0.4,300,16,-1,3,0.0,False
43.247,0.0,50.106,79.646,47.013,79.386,0.001,1e-08,0.5,300,16,-1,3,0.0,False
43.005,0.0,49.13,79.312,48.137,79.312,0.001,1e-08,0.07,300,16,-1,2,1e-07,False
39.303,78.515,50.712,79.171,50.603,78.49,0.001,1e-08,0.07,300,16,-1,3,1e-07,False
42.214,77.838,48.357,78.903,47.507,78.903,0.001,1e-08,0.07,300,16,-1,1,1e-07,False
40.375,77.78,49.985,79.348,49.985,79.348,0.001,1e-08,0.1,300,16,-1,1,1e-07,False
43.284,78.779,50.329,79.486,46.511,79.486,0.001,1e-08,0.14,300,16,-1,1,1e-07,False
