best_dev_sent_f1,best_dev_act_f1,best_test_sent_f1,best_test_act_f1,best_dev_test_sent_f1,best_dev_test_act_f1,learning rate,l2,dropout,hidden_dim,batch size,num_base,stack_num,margin_coefficient
41.577,76.416,50.978,77.466,43.272,76.033,0.001,1e-08,0.5,300,16,1,2,1
43.357,76.873,50.782,77.653,49.217,77.222,0.001,1e-08,0.5,300,16,-1,2,1
43.477,0.0,50.27,77.647,48.377,77.121,0.001,1e-08,0.5,300,16,30,2,1
44.253,0.0,50.611,77.325,50.475,77.325,0.001,1e-08,0.5,300,16,20,2,1
43.339,75.651,51.253,77.601,48.718,77.601,0.001,1e-08,0.5,300,16,10,2,1
43.11,0.0,50.001,77.881,46.857,77.126,0.001,1e-08,0.5,300,16,5,2,2
43.806,76.629,51.675,76.982,49.214,76.597,0.001,1e-08,0.5,300,16,1,2,2
43.483,76.891,50.673,77.844,50.673,76.844,0.001,1e-08,0.5,300,16,-1,2,2
43.602,76.757,50.614,76.691,46.571,76.211,0.001,1e-08,0.5,300,16,30,2,2
42.848,76.803,50.883,77.43,45.474,76.438,0.001,1e-08,0.5,300,16,20,2,2
43.992,77.086,50.57,77.394,47.598,77.224,0.001,1e-08,0.5,300,16,10,2,2
46.133,76.329,51.232,77.953,47.787,77.136,0.001,1e-08,0.5,300,16,5,2,5
43.494,76.824,50.081,77.428,50.081,76.911,0.001,1e-08,0.5,300,16,30,2,5
42.065,76.655,50.201,77.592,47.96,77.592,0.001,1e-08,0.5,300,16,1,2,5
42.867,76.474,51.588,77.848,50.643,76.993,0.001,1e-08,0.5,300,16,-1,2,5
43.632,0.0,52.369,77.702,50.026,77.702,0.001,1e-08,0.5,300,16,5,3,1
42.831,76.939,51.673,77.467,48.46,77.116,0.001,1e-08,0.5,300,16,20,2,5
44.438,76.235,52.887,77.445,44.722,76.92,0.001,1e-08,0.5,300,16,10,2,5
44.626,76.86,50.054,77.171,46.637,76.238,0.001,1e-08,0.5,300,16,30,3,1
41.948,76.372,49.051,77.136,48.693,76.497,0.001,1e-08,0.5,300,16,1,3,1
42.768,76.647,50.182,77.529,48.724,77.071,0.001,1e-08,0.5,300,16,-1,3,1
43.847,0.0,50.814,77.294,50.673,77.294,0.001,1e-08,0.5,300,16,5,3,2
43.536,77.118,49.952,77.169,47.559,76.652,0.001,1e-08,0.5,300,16,20,3,1
43.937,75.816,50.855,77.642,50.211,77.138,0.001,1e-08,0.5,300,16,10,3,1
42.854,76.203,51.809,77.707,49.88,77.707,0.001,1e-08,0.5,300,16,30,3,2
44.046,76.758,50.46,77.174,47.301,77.019,0.001,1e-08,0.5,300,16,1,3,2
44.364,76.898,49.567,77.995,47.304,77.126,0.001,1e-08,0.5,300,16,-1,3,2
42.533,0.0,52.313,77.614,48.431,77.049,0.001,1e-08,0.5,300,16,5,3,5
43.945,76.898,49.345,77.42,47.013,76.903,0.001,1e-08,0.5,300,16,20,3,2
42.862,75.864,51.967,77.75,47.425,77.75,0.001,1e-08,0.5,300,16,10,3,2
43.505,76.384,52.565,77.572,49.357,77.368,0.001,1e-08,0.5,300,16,30,3,5
