best_dev_sent_f1,best_dev_act_f1,best_test_sent_f1,best_test_act_f1,best_dev_test_sent_f1,best_dev_test_act_f1,learning rate,l2,dropout,hidden_dim,batch size,num_base,stack_num,margin_coefficient
66.171,75.569,56.244,60.432,54.911,58.789,0.001,1e-08,0.4,300,16,-1,2,2
65.531,70.581,55.569,60.742,55.569,60.013,0.001,1e-08,0.4,300,16,-1,1,2
70.804,70.471,55.162,60.283,55.162,59.975,0.001,1e-08,0.3,300,16,-1,5,2
62.446,70.923,55.508,60.862,55.508,59.837,0.001,1e-08,0.4,300,16,-1,5,2
63.609,68.612,54.331,61.127,54.223,61.08,0.001,1e-08,0.4,300,16,-1,4,2
66.978,69.405,54.955,60.714,54.955,60.311,0.001,1e-08,0.4,300,16,-1,3,2
64.769,67.444,55.22,60.991,53.448,60.404,0.001,1e-08,0.5,300,16,-1,3,2
57.063,63.828,53.362,59.493,53.362,59.08,0.001,1e-08,0.5,300,16,-1,1,2
61.042,66.384,54.921,59.931,54.912,59.671,0.001,1e-08,0.5,300,16,-1,2,2
66.605,72.397,55.991,61.079,55.39,60.578,0.001,1e-08,0.1,300,16,-1,1,3
69.405,63.226,54.754,60.962,54.352,60.962,0.001,1e-08,0.1,300,16,-1,4,3
67.816,67.032,54.021,60.263,54.021,59.819,0.001,1e-08,0.5,300,16,-1,4,2
61.211,67.11,54.395,61.468,54.369,60.397,0.001,1e-08,0.5,300,16,-1,5,2
69.961,73.44,55.43,60.403,55.43,59.436,0.001,1e-08,0.2,300,16,-1,2,3
66.714,77.096,55.99,60.98,55.99,58.335,0.001,1e-08,0.1,300,16,-1,2,3
67.895,71.771,54.852,61.27,53.15,60.033,0.001,1e-08,0.1,300,16,-1,3,3
67.76,68.919,54.956,60.602,54.956,60.602,0.001,1e-08,0.2,300,16,-1,5,3
71.235,71.273,56.884,62.096,56.884,59.081,0.001,1e-08,0.2,300,16,-1,1,3
70.027,69.836,54.943,59.845,54.21,59.582,0.001,1e-08,0.1,300,16,-1,5,3
67.258,73.535,54.68,60.942,54.092,59.856,0.001,1e-08,0.3,300,16,-1,3,3
64.583,72.575,56.413,61.882,54.828,57.082,0.001,1e-08,0.2,300,16,-1,4,3
65.795,68.997,56.228,60.571,56.228,60.327,0.001,1e-08,0.2,300,16,-1,3,3
68.152,73.125,55.036,61.585,55.036,57.987,0.001,1e-08,0.4,300,16,-1,1,3
73.616,69.498,56.119,61.393,54.649,59.946,0.001,1e-08,0.3,300,16,-1,2,3
69.74,72.639,53.35,61.53,53.35,58.943,0.001,1e-08,0.3,300,16,-1,1,3
66.364,69.153,55.858,61.779,55.858,60.585,0.001,1e-08,0.4,300,16,-1,4,3
72.5,73.64,55.413,62.388,54.588,59.415,0.001,1e-08,0.3,300,16,-1,5,3
65.322,74.116,56.134,60.573,56.134,57.767,0.001,1e-08,0.3,300,16,-1,4,3
59.915,67.621,54.098,60.49,53.325,60.477,0.001,1e-08,0.5,300,16,-1,2,3
66.457,72.748,55.587,60.753,54.202,59.877,0.001,1e-08,0.4,300,16,-1,3,3
69.091,70.476,55.954,61.377,55.954,59.256,0.001,1e-08,0.4,300,16,-1,2,3
69.697,70.199,54.276,60.448,52.049,60.448,0.001,1e-08,0.5,300,16,-1,5,3
64.165,70.233,54.752,60.421,53.476,60.421,0.001,1e-08,0.5,300,16,-1,1,3
69.048,70.331,55.637,60.691,54.477,59.477,0.001,1e-08,0.4,300,16,-1,5,3
63.639,66.511,55.263,60.748,55.263,59.339,0.001,1e-08,0.1,300,16,-1,3,4
64.583,69.46,53.905,60.031,53.318,59.653,0.001,1e-08,0.5,300,16,-1,4,3
69.961,75.231,53.714,61.675,53.092,58.81,0.001,1e-08,0.5,300,16,-1,3,3
70.0,71.465,56.064,61.524,55.533,59.748,0.001,1e-08,0.2,300,16,-1,1,4
67.422,70.598,55.079,60.492,54.281,59.652,0.001,1e-08,0.1,300,16,-1,2,4
63.504,72.745,56.376,60.806,54.029,59.298,0.001,1e-08,0.1,300,16,-1,1,4
65.01,70.732,55.25,62.138,55.25,60.18,0.001,1e-08,0.2,300,16,-1,4,4
66.459,68.763,55.479,60.176,55.479,59.689,0.001,1e-08,0.3,300,16,-1,2,4
67.949,69.869,55.837,60.493,53.537,59.03,0.001,1e-08,0.1,300,16,-1,4,4
69.062,70.636,54.046,61.017,54.046,59.532,0.001,1e-08,0.1,300,16,-1,5,4
66.052,74.773,56.022,60.32,56.022,57.925,0.001,1e-08,0.3,300,16,-1,5,4
67.262,71.873,56.2,60.733,54.791,58.913,0.001,1e-08,0.2,300,16,-1,2,4
70.147,68.447,54.755,60.471,54.755,59.754,0.001,1e-08,0.2,300,16,-1,3,4
58.986,67.26,56.053,62.098,56.053,60.4,0.001,1e-08,0.4,300,16,-1,3,4
68.093,59.732,54.909,61.142,54.909,61.142,0.001,1e-08,0.3,300,16,-1,1,4
70.385,68.588,54.313,61.061,53.997,61.061,0.001,1e-08,0.2,300,16,-1,5,4
69.333,75.446,54.99,60.225,54.99,58.582,0.001,1e-08,0.5,300,16,-1,1,4
